900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900047948;данные отсутствуют;Камешково г., Пушкина наб, 68, 0;519;469.49
900047952;Иванов И.И.;Лакинск г., Улица не указана, Советская, 0;0;0
900047956;Михайлов М.М.;Сокол п., Молодежная мкр, 127, 78;519;58.00;3300000001 ХВС;0
900047968;данные отсутствуют;Камешково г., Лесная наб, 52, 0;519;523.12
900047978;Алексеев А.А.;Красная Горбатка п., Заречная пер, 14, 129;519;0
900048022;Лебедев Л.Л.;Бавлены п., Набережная тер, Дом не указан, Квартира не указана;519;284.50
900048073;Алексеев А.А.;Новоселка д., Гагарина пл, 31, 98;519;448.65;3300000001 ХВС;0
900048094;Петров П.П.;Новоселка д., Молодежная ул, Дом не указан, Квартира не указана;519;114.05
900048096;Михайлов М.М.;Вязники г., Улица не указана, Комсомольская, 0;0;0
900048145;данные отсутствуют;Сокол п., Школьная наб, 122, 0;519;272.92
900048153;данные отсутствуют;Покров г., Пушкина б-р, 79, 0;519;501.22
900048170;данные отсутствуют;Вязники г., Пионерская пер, 68, 0;519;487.51
900048179;Алексеев А.А.;Новоселка д., Улица не указана, Строительная, 0;0;0
900048231;Кузнецов А.А.;Красная Горбатка п., Полевая наб, 63, 69;519;138.64;3300000001 ХВС;0
900048256;Лебедев Л.Л.;Камешково г., Улица не указана, Победы, 0;0;0
900048296;Волков В.В.;Кольчугино г., Улица не указана, Молодежная, 0;0;0
900048311;данные отсутствуют;Вязники г., Школьная ул, 125А, 0;519;384.31
900048422;Морозов М.М.;Ставрово п., Мира шоссе, 102, 48;519;0
900048425;Петров П.П.;Собинка г., Строительная наб, 98, 56;519;133.61;3300000001 ХВС;0
900048428;Сидоров С.С.;Суздаль г., Новая пер, Дом не указан, Квартира не указана;519;61.30
900048493;данные отсутствуют;Новоселка д., Центральная шоссе, 51, 0;519;259.59
900048560;Попов Д.Д.;Беречино д., Комсомольская пер, 128, 40;519;0
900048657;Фёдоров Ф.Ф.;Кольчугино г., Победы пер, 53, 111;519;0
900048663;Егоров Е.Е.;Ставрово п., Улица не указана, Колхозная, 0;0;0
900048695;Алексеев А.А.;Боголюбово п., Полевая пл, 21, 96;519;0
900048699;Лебедев Л.Л.;Покров г., Садовая наб, Дом не указан, Квартира не указана;519;546.37
900048704;данные отсутствуют;Муром г., Свободы шоссе, 47, 0;519;420.45
900048731;Васильев Е.Е.;Лемешки с., Ленина тер, 88, 66;519;472.17;3300000001 ХВС;0
900048741;данные отсутствуют;Ковров г., Новая ул, 23, 0;519;193.39
900048752;Семёнов С.С.;Александров г., Колхозная б-р, Дом не указан, Квартира не указана;519;382.83
900048783;Иванов И.И.;Александров г., Молодежная пр-кт, 49, 16;519;508.73;3300000001 ХВС;0
900048796;данные отсутствуют;Семьинское с., Луговая ул, 17, 0;519;391.35
900048810;данные отсутствуют;Гусь-Хрустальный г., Строительная мкр, 102, 0;519;353.17
900048812;Сидоров С.С.;Ставрово п., Гагарина наб, 75, 53;519;0
900048867;Иванов И.И.;Юрьевец п., Победы б-р, 17, 52;519;0
900048891;Кузнецов А.А.;Беречино д., Улица не указана, Комсомольская, 0;0;0
900048908;данные отсутствуют;Ставрово п., Победы пр-кт, 134, 0;519;432.88
900048917;Морозов М.М.;Вязники г., Улица не указана, Школьная, 0;0;0
900048975;Михайлов М.М.;Беречино д., Первомайская шоссе, 40А, 95;519;0
900049024;данные отсутствуют;Кольчугино г., Октябрьская пер, 130, 0;519;173.00
900049077;данные отсутствуют;Беречино д., Молодежная наб, 40А, 0;519;306.89
900049092;Волков В.В.;Семьинское с., Набережная ул, 13, 19;519;0
900049100;Алексеев А.А.;Беречино д., Улица не указана, Октябрьская, 0;0;0
900049167;данные отсутствуют;Новоселка д., Победы наб, 131, 0;519;287.63
900049187;Михайлов М.М.;Суздаль г., Школьная пр-кт, 126, 12;519;138.25;3300000001 ХВС;0
900049222;данные отсутствуют;Ставрово п., Новая тер, 74, 0;519;282.60
900049235;Васильев Е.Е.;Собинка г., Мира мкр, Дом не указан, Квартира не указана;519;255.34
900049268;Фёдоров Ф.Ф.;Бавлены п., Гагарина б-р, Дом не указан, Квартира не указана;519;291.82
900049303;Иванов И.И.;Покров г., Мира пер, 76, 1;519;57.09;3300000001 ХВС;0
900049312;Фёдоров Ф.Ф.;Гусь-Хрустальный г., Ленина ул, Дом не указан, Квартира не указана;519;302.08
900049321;Морозов М.М.;Владимир г., Набережная б-р, 133, 42;519;457.46;3300000001 ХВС;0
900049357;Михайлов М.М.;Сокол п., Центральная тер, 126, 42;519;359.04;3300000001 ХВС;0
900049471;данные отсутствуют;Телегино д., Октябрьская мкр, 143, 0;519;468.52
900049489;Лебедев Л.Л.;Киржач г., Набережная ул, 146, 85;519;0
900049499;Морозов М.М.;Киржач г., Гагарина пер, 94, 53;519;420.26;3300000001 ХВС;0
900049528;данные отсутствуют;Камешково г., Первомайская мкр, 39, 0;519;281.76
900049560;Кузнецов А.А.;Юрьевец п., Полевая б-р, 54, 149;519;488.69;3300000001 ХВС;0
900049596;Семёнов С.С.;Красная Горбатка п., Улица не указана, Комсомольская, 0;0;0
900049597;Иванов И.И.;Красная Горбатка п., Полевая ул, 83, 6;519;0
900049611;Лебедев Л.Л.;Новоселка д., Улица не указана, Заречная, 0;0;0
900049656;Семёнов С.С.;Головино п., Набережная мкр, 2А, 18;519;199.39;3300000001 ХВС;0
900049688;Семёнов С.С.;Суздаль г., Пушкина пл, 56, 40;519;141.54;3300000001 ХВС;0
900049712;Алексеев А.А.;Бавлены п., Пионерская шоссе, 143, 49;519;91.17;3300000001 ХВС;0
900049729;Алексеев А.А.;Суздаль г., Пушкина пл, 35, 90;519;427.77;3300000001 ХВС;0
900049757;Смирнов В.В.;Кольчугино г., Лесная мкр, 126, 11;519;334.40;3300000001 ХВС;0
900049762;Попов Д.Д.;Вязники г., Набережная шоссе, 113, 7;519;0
900049784;Михайлов М.М.;Лемешки с., Строительная пл, Дом не указан, Квартира не указана;519;376.39
900049796;Егоров Е.Е.;Лемешки с., Советская пр-кт, 132, 101;519;0
900049851;Семёнов С.С.;Киржач г., Победы пл, 41, 11;519;0
900049936;Фёдоров Ф.Ф.;Новоселка д., Пионерская мкр, 2, 62;519;0
900049967;Новиков Н.Н.;Муром г., Победы б-р, 69, 64;519;244.13;3300000001 ХВС;0
900049968;данные отсутствуют;Вязники г., Пионерская пер, 23, 0;519;364.22
900049978;Волков В.В.;Лемешки с., Улица не указана, Победы, 0;0;0
900049989;данные отсутствуют;Покров г., Луговая ул, 23, 0;519;132.89
900049993;Морозов М.М.;Суздаль г., Садовая мкр, Дом не указан, Квартира не указана;519;401.95
900050002;данные отсутствуют;Телегино д., Заречная тер, 136, 0;519;522.12
900050048;Егоров Е.Е.;Бавлены п., Ленина пер, Дом не указан, Квартира не указана;519;484.30
900050106;Кузнецов А.А.;Новоселка д., Улица не указана, Октябрьская, 0;0;0
900050109;Иванов И.И.;Юрьевец п., Ленина тер, 17, 61;519;389.65;3300000001 ХВС;0
900050110;Морозов М.М.;Муром г., Улица не указана, Полевая, 0;0;0
900050120;Смирнов В.В.;Вязники г., Школьная ул, Дом не указан, Квартира не указана;519;475.51
900050169;Фёдоров Ф.Ф.;Юрьевец п., Гагарина наб, Дом не указан, Квартира не указана;519;151.86
900050196;Егоров Е.Е.;Боголюбово п., Улица не указана, Гагарина, 0;0;0
900050207;данные отсутствуют;Красная Горбатка п., Свободы пер, 118, 0;519;97.69
900050284;данные отсутствуют;Александров г., Молодежная б-р, 58, 0;519;68.98
900050336;Иванов И.И.;Киржач г., Заречная пл, 41, 0;519;0
900050337;Кузнецов А.А.;Вязники г., Свободы пер, Дом не указан, Квартира не указана;519;549.08
900050340;данные отсутствуют;Лемешки с., Молодежная наб, 77, 0;519;445.65
900050352;Семёнов С.С.;Лакинск г., Строительная тер, 78, 55;519;0
900050365;Алексеев А.А.;Головино п., Строительная пр-кт, 70, 48;519;0
900050386;Фёдоров Ф.Ф.;Камешково г., Школьная б-р, Дом не указан, Квартира не указана;519;129.47
900050405;Фёдоров Ф.Ф.;Собинка г., Гагарина наб, Дом не указан, Квартира не указана;519;344.00
900050409;Волков В.В.;Покров г., Комсомольская тер, 73, 97;519;67.71;3300000001 ХВС;0
900050437;Новиков Н.Н.;Суздаль г., Победы шоссе, 76, 33;519;0
900050461;Сидоров С.С.;Сокол п., Первомайская б-р, Дом не указан, Квартира не указана;519;54.96
900050466;Иванов И.И.;Киржач г., Советская пр-кт, 46А, 112;519;467.54;3300000001 ХВС;0
900050469;Лебедев Л.Л.;Ставрово п., Октябрьская пр-кт, 127, 118;519;0
900050475;Новиков Н.Н.;Муром г., Строительная наб, 10, 33;519;0
900050483;Алексеев А.А.;Новоселка д., Садовая пл, 119, 40;519;235.44;3300000001 ХВС;0
900050484;Семёнов С.С.;Суздаль г., Свободы шоссе, 30, 94;519;172.39;3300000001 ХВС;0
900050491;Алексеев А.А.;Лемешки с., Молодежная ул, Дом не указан, Квартира не указана;519;152.01
900050495;Фёдоров Ф.Ф.;Ставрово п., Новая наб, 57, 56;519;0
900050612;Смирнов В.В.;Камешково г., Гагарина б-р, 122, 40;519;362.73;3300000001 ХВС;0
900050642;данные отсутствуют;Красная Горбатка п., Пионерская шоссе, 10, 0;519;300.53
900050658;Волков В.В.;Камешково г., Центральная мкр, 81, 45;519;147.42;3300000001 ХВС;0
900050663;Новиков Н.Н.;Камешково г., Улица не указана, Садовая, 0;0;0
900050683;Алексеев А.А.;Боголюбово п., Садовая пер, Дом не указан, Квартира не указана;519;155.45
900050725;Морозов М.М.;Киржач г., Лесная наб, 111, 15;519;0
900050729;Попов Д.Д.;Гусь-Хрустальный г., Набережная шоссе, 59, 132;519;491.56;3300000001 ХВС;0
900050736;Семёнов С.С.;Беречино д., Лесная пл, 9, 89;519;0
900050814;Петров П.П.;Новоселка д., Строительная пер, 10, 32;519;157.08;3300000001 ХВС;0
900050819;Фёдоров Ф.Ф.;Ковров г., Улица не указана, Заречная, 0;0;0
900050822;Егоров Е.Е.;Ставрово п., Ленина пер, 7, 91;519;306.11;3300000001 ХВС;0
900050825;Лебедев Л.Л.;Кольчугино г., Гагарина пл, 2, 99;519;0
900050866;Михайлов М.М.;Гусь-Хрустальный г., Улица не указана, Победы, 0;0;0
900050882;Семёнов С.С.;Гусь-Хрустальный г., Октябрьская пл, Дом не указан, Квартира не указана;519;444.16
900050901;Алексеев А.А.;Ковров г., Молодежная наб, 123, 124;519;380.43;3300000001 ХВС;0
900050964;Петров П.П.;Собинка г., Полевая шоссе, Дом не указан, Квартира не указана;519;211.61
900050974;Попов Д.Д.;Сокол п., Улица не указана, Ленина, 0;0;0
900050983;Морозов М.М.;Красная Горбатка п., Улица не указана, Пушкина, 0;0;0
900051006;Волков В.В.;Лакинск г., Ленина тер, Дом не указан, Квартира не указана;519;478.08
900051026;Егоров Е.Е.;Боголюбово п., Луговая пл, Дом не указан, Квартира не указана;519;510.20
900051068;данные отсутствуют;Гусь-Хрустальный г., Комсомольская мкр, 90, 0;519;184.61
900051069;Волков В.В.;Лакинск г., Лесная б-р, 105, 124;519;467.81;3300000001 ХВС;0
900051079;Егоров Е.Е.;Покров г., Луговая шоссе, 116А, 147;519;0
900051086;Лебедев Л.Л.;Боголюбово п., Победы пер, 78, 112;519;325.03;3300000001 ХВС;0
900051090;Семёнов С.С.;Вязники г., Полевая пр-кт, Дом не указан, Квартира не указана;519;332.03
900051099;Кузнецов А.А.;Юрьевец п., Улица не указана, Пионерская, 0;0;0
900051179;Семёнов С.С.;Юрьевец п., Советская б-р, 38, 45;519;0
900051181;Смирнов В.В.;Бавлены п., Пушкина мкр, Дом не указан, Квартира не указана;519;230.30
900051217;Сидоров С.С.;Боголюбово п., Садовая наб, 67, 41;519;81.23;3300000001 ХВС;0
900051221;Семёнов С.С.;Красная Горбатка п., Улица не указана, Свободы, 0;0;0
900051224;Смирнов В.В.;Беречино д., Октябрьская пер, Дом не указан, Квартира не указана;519;70.33
900051231;данные отсутствуют;Камешково г., Строительная пер, 98А, 0;519;213.98
900051234;данные отсутствуют;Камешково г., Ленина мкр, 131, 0;519;186.31
900051316;данные отсутствуют;Киржач г., Мира шоссе, 4А, 0;519;362.24
900051371;Лебедев Л.Л.;Муром г., Садовая наб, Дом не указан, Квартира не указана;519;204.76
900051414;Иванов И.И.;Ковров г., Гагарина ул, Дом не указан, Квартира не указана;519;394.78
900051417;Петров П.П.;Покров г., Ленина мкр, 141, 28;519;0
900051446;Егоров Е.Е.;Сокол п., Гагарина ул, 100, 101;519;211.30;3300000001 ХВС;0
900051452;данные отсутствуют;Боголюбово п., Ленина пр-кт, 89, 0;519;78.63
900051465;данные отсутствуют;Ковров г., Свободы пр-кт, 12, 0;519;83.44
900051486;данные отсутствуют;Александров г., Строительная пл, 90, 0;519;230.79
900051498;Попов Д.Д.;Ставрово п., Колхозная ул, 33, 76;519;0
900051600;Сидоров С.С.;Сокол п., Свободы б-р, Дом не указан, Квартира не указана;519;376.37
900051633;Морозов М.М.;Собинка г., Новая тер, Дом не указан, Квартира не указана;519;286.07
900051679;Петров П.П.;Камешково г., Первомайская тер, 136А, 114;519;94.45;3300000001 ХВС;0
900051686;Иванов И.И.;Александров г., Пушкина мкр, 27А, 92;519;0
900051693;Новиков Н.Н.;Собинка г., Садовая ул, 54, 65;519;450.33;3300000001 ХВС;0
900051748;Фёдоров Ф.Ф.;Лемешки с., Улица не указана, Октябрьская, 0;0;0
900051779;Смирнов В.В.;Головино п., Советская тер, 129, 55;519;0
900051786;Егоров Е.Е.;Беречино д., Улица не указана, Садовая, 0;0;0
900051796;Семёнов С.С.;Александров г., Гагарина пл, 89, 74;519;0
900051811;Новиков Н.Н.;Вязники г., Школьная шоссе, 8, 14;519;0
900051831;Фёдоров Ф.Ф.;Ставрово п., Новая пер, 3, 5;519;0
900051842;Волков В.В.;Семьинское с., Новая мкр, 46, 44;519;76.35;3300000001 ХВС;0
900051870;Михайлов М.М.;Лемешки с., Улица не указана, Комсомольская, 0;0;0
900051896;Егоров Е.Е.;Кольчугино г., Улица не указана, Молодежная, 0;0;0
900051921;Сидоров С.С.;Муром г., Улица не указана, Победы, 0;0;0
900051957;данные отсутствуют;Лемешки с., Лесная пл, 9, 0;519;392.81
900051962;Новиков Н.Н.;Телегино д., Колхозная тер, Дом не указан, Квартира не указана;519;406.26
900051965;Егоров Е.Е.;Лакинск г., Колхозная наб, 101, 24;519;0
900052036;Васильев Е.Е.;Муром г., Улица не указана, Строительная, 0;0;0
900052051;данные отсутствуют;Покров г., Советская шоссе, 59, 0;519;437.94
900052110;Попов Д.Д.;Владимир г., Улица не указана, Первомайская, 0;0;0
900052140;Кузнецов А.А.;Бавлены п., Улица не указана, Лесная, 0;0;0
900052241;данные отсутствуют;Суздаль г., Советская б-р, 83, 0;519;381.29
900052282;Волков В.В.;Суздаль г., Улица не указана, Первомайская, 0;0;0
900052290;данные отсутствуют;Покров г., Новая пл, 94, 0;519;306.79
900052292;Фёдоров Ф.Ф.;Покров г., Советская тер, 130, 0;519;533.45;3300000001 ХВС;0
900052297;Кузнецов А.А.;Телегино д., Новая пл, Дом не указан, Квартира не указана;519;492.60
900052298;Иванов И.И.;Лемешки с., Улица не указана, Молодежная, 0;0;0
900052341;Егоров Е.Е.;Телегино д., Улица не указана, Пушкина, 0;0;0
900052377;Волков В.В.;Красная Горбатка п., Улица не указана, Советская, 0;0;0
900052433;Попов Д.Д.;Красная Горбатка п., Заречная пр-кт, Дом не указан, Квартира не указана;519;111.72
900052441;Попов Д.Д.;Новоселка д., Центральная пер, 37, 129;519;213.17;3300000001 ХВС;0
900052447;Михайлов М.М.;Юрьевец п., Лесная шоссе, 47, 105;519;0
900052455;Иванов И.И.;Лемешки с., Центральная наб, Дом не указан, Квартира не указана;519;128.62
900052508;Семёнов С.С.;Суздаль г., Лесная пр-кт, Дом не указан, Квартира не указана;519;271.01
900052516;Семёнов С.С.;Красная Горбатка п., Октябрьская тер, Дом не указан, Квартира не указана;519;182.87
900052539;данные отсутствуют;Красная Горбатка п., Советская пр-кт, 45, 0;519;52.46
900052602;Семёнов С.С.;Киржач г., Набережная б-р, 131, 32;519;0
900052644;Михайлов М.М.;Юрьевец п., Улица не указана, Лесная, 0;0;0
900052649;Лебедев Л.Л.;Покров г., Заречная наб, 18, 31;519;0
900052722;Алексеев А.А.;Вязники г., Комсомольская пл, 1, 124;519;335.48;3300000001 ХВС;0
900052723;Лебедев Л.Л.;Беречино д., Улица не указана, Садовая, 0;0;0
900052756;Егоров Е.Е.;Суздаль г., Улица не указана, Советская, 0;0;0
900052759;Егоров Е.Е.;Суздаль г., Пионерская наб, 94, 118;519;263.60;3300000001 ХВС;0
900052770;Васильев Е.Е.;Муром г., Улица не указана, Ленина, 0;0;0
900052803;Фёдоров Ф.Ф.;Кольчугино г., Садовая пер, 63, 142;519;0
900052829;данные отсутствуют;Александров г., Луговая пер, 33А, 0;519;285.69
900052863;данные отсутствуют;Головино п., Победы наб, 34, 0;519;155.31
900052864;Алексеев А.А.;Бавлены п., Первомайская б-р, Дом не указан, Квартира не указана;519;162.78
900052868;Сидоров С.С.;Лемешки с., Заречная шоссе, 42, 26;519;465.50;3300000001 ХВС;0
900052875;данные отсутствуют;Вязники г., Октябрьская пр-кт, 88, 0;519;265.27
900052882;Фёдоров Ф.Ф.;Кольчугино г., Ленина наб, 28, 58;519;0
900052897;Волков В.В.;Гусь-Хрустальный г., Улица не указана, Центральная, 0;0;0
900052900;Кузнецов А.А.;Беречино д., Гагарина наб, Дом не указан, Квартира не указана;519;188.91
900052928;Петров П.П.;Красная Горбатка п., Колхозная ул, Дом не указан, Квартира не указана;519;525.43
900052935;Кузнецов А.А.;Телегино д., Садовая пер, 66, 87;519;421.71;3300000001 ХВС;0
900052959;Иванов И.И.;Киржач г., Молодежная ул, 87, 46;519;0
900052978;Васильев Е.Е.;Лемешки с., Улица не указана, Молодежная, 0;0;0
900052987;Васильев Е.Е.;Ковров г., Первомайская б-р, 31, 31;519;0
900052989;Михайлов М.М.;Боголюбово п., Луговая пер, 98, 44;519;224.67;3300000001 ХВС;0
900053073;Семёнов С.С.;Александров г., Набережная шоссе, Дом не указан, Квартира не указана;519;338.06
900053079;Кузнецов А.А.;Лакинск г., Новая шоссе, Дом не указан, Квартира не указана;519;276.08
900053112;данные отсутствуют;Красная Горбатка п., Центральная ул, 103, 0;519;325.96
900053155;данные отсутствуют;Киржач г., Садовая мкр, 17, 0;519;315.92
900053168;Иванов И.И.;Вязники г., Пионерская б-р, 42, 143;519;0
900053195;Петров П.П.;Семьинское с., Лесная пер, Дом не указан, Квартира не указана;519;375.77
900053199;Васильев Е.Е.;Суздаль г., Молодежная пер, 93, 93;519;246.58;3300000001 ХВС;0
900053208;Новиков Н.Н.;Ставрово п., Новая мкр, Дом не указан, Квартира не указана;519;64.62
900053215;Петров П.П.;Красная Горбатка п., Победы тер, 105, 58;519;0
900053247;Васильев Е.Е.;Вязники г., Улица не указана, Гагарина, 0;0;0
900053280;Семёнов С.С.;Сокол п., Пушкина пл, Дом не указан, Квартира не указана;519;195.11
900053369;данные отсутствуют;Камешково г., Октябрьская пр-кт, 127, 0;519;209.40
900053375;Кузнецов А.А.;Собинка г., Улица не указана, Комсомольская, 0;0;0
900053426;Новиков Н.Н.;Собинка г., Свободы ул, 82, 135;519;0
900053430;Васильев Е.Е.;Головино п., Полевая шоссе, 53, 43;519;0
900053436;Лебедев Л.Л.;Беречино д., Первомайская пл, 139, 26;519;0
900053457;Васильев Е.Е.;Семьинское с., Строительная пер, 65, 43;519;0
900053481;Кузнецов А.А.;Суздаль г., Комсомольская б-р, Дом не указан, Квартира не указана;519;427.62
900053494;Смирнов В.В.;Ковров г., Строительная пр-кт, Дом не указан, Квартира не указана;519;271.66
900053531;Попов Д.Д.;Покров г., Заречная тер, 17, 121;519;141.80;3300000001 ХВС;0
900053538;Новиков Н.Н.;Ковров г., Садовая мкр, Дом не указан, Квартира не указана;519;84.94
900053542;Попов Д.Д.;Головино п., Улица не указана, Комсомольская, 0;0;0
900053583;Семёнов С.С.;Киржач г., Улица не указана, Строительная, 0;0;0
900053612;Семёнов С.С.;Бавлены п., Улица не указана, Победы, 0;0;0
900053629;Егоров Е.Е.;Суздаль г., Улица не указана, Ленина, 0;0;0
900053674;Васильев Е.Е.;Боголюбово п., Первомайская пер, 99, 119;519;116.98;3300000001 ХВС;0
900053692;Новиков Н.Н.;Ставрово п., Советская пер, Дом не указан, Квартира не указана;519;232.96
900053720;Петров П.П.;Телегино д., Заречная тер, Дом не указан, Квартира не указана;519;115.71
